checked_utc,api_time_utc,fuel,fuel_id,price_cents
2026-08-31T11:32:47.640208+00:00,2026-08-30T10:42:20.3,U91,2,199.9
2026-08-31T11:32:47.640233+00:00,2026-08-30T10:42:20.3,Diesel,3,238.9
2026-09-03T06:34:25.946043+00:00,2026-09-03T06:00:52.397,U91,2,199.9
2026-09-03T06:34:25.946070+00:00,2026-09-03T06:00:52.397,Diesel,3,999.9
2026-09-04T02:27:39.620060+00:00,2026-09-04T01:28:38.18,U91,2,199.9
2026-09-04T02:27:39.620060+00:00,2026-09-04T01:28:38.18,Diesel,3,241.9
2026-09-07T00:39:21.179556+00:00,2026-09-06T23:35:30.443,U91,2,207.9
2026-09-07T00:39:21.179556+00:00,2026-09-06T23:35:30.443,Diesel,3,241.9
2026-09-08T22:27:29.581275+00:00,2026-09-08T22:27:13.903,U91,2,207.9
2026-09-08T22:27:29.581275+00:00,2026-09-08T22:27:13.903,Diesel,3,242.9
2026-09-08T23:26:10.460728+00:00,2026-09-08T22:27:30.513,U91,2,207.9
2026-09-08T23:26:10.460728+00:00,2026-09-08T22:27:30.513,Diesel,3,242.9
2026-09-10T11:28:09.730090+00:00,2026-09-10T10:34:44.527,U91,2,209.9
2026-09-10T11:28:09.730090+00:00,2026-09-10T10:34:44.527,Diesel,3,244.9
2026-09-10T23:25:21.571439+00:00,2026-09-10T22:40:51.327,U91,2,209.9
2026-09-11T00:35:19.040385+00:00,2026-09-10T23:56:11.783,U91,2,209.9
2026-09-11T00:35:19.040385+00:00,2026-09-10T23:56:11.783,Diesel,3,244.9
2026-09-13T00:35:41.465043+00:00,2026-09-12T23:59:51.87,U91,2,212.9
2026-09-13T00:35:41.465043+00:00,2026-09-12T23:59:51.87,Diesel,3,247.9
2026-09-14T21:27:59.944028+00:00,2026-09-14T20:30:13.09,U91,2,215.9
2026-09-14T21:27:59.944028+00:00,2026-09-14T20:30:13.09,Diesel,3,247.9
2026-09-15T05:29:22.707358+00:00,2026-09-15T04:52:10.2,U91,2,215.9
2026-09-15T05:29:22.707358+00:00,2026-09-15T04:52:10.2,Diesel,3,247.9
2026-09-15T10:29:52.493694+00:00,2026-09-15T10:26:50.213,U91,2,217.9
2026-09-15T10:29:52.493694+00:00,2026-09-15T10:26:50.213,Diesel,3,258.9
2026-09-16T10:29:30.058271+00:00,2026-09-16T09:45:44.41,U91,2,218.9
2026-09-16T10:29:30.058271+00:00,2026-09-16T09:45:44.41,Diesel,3,259.9
2026-09-17T02:28:56.561985+00:00,2026-09-17T02:19:11.22,U91,2,224.9
2026-09-17T02:28:56.561985+00:00,2026-09-17T02:19:11.22,Diesel,3,264.9
2026-09-17T12:34:07.516314+00:00,2026-09-17T11:38:35.67,U91,2,224.9
2026-09-18T00:34:22.122199+00:00,2026-09-17T23:37:56.78,U91,2,228.9
2026-09-18T05:26:33.759340+00:00,2026-09-18T05:13:50.297,U91,2,228.9
2026-09-18T05:26:33.759340+00:00,2026-09-18T05:13:50.297,Diesel,3,277.9
2026-09-21T07:30:20.690260+00:00,2026-09-21T07:09:24.21,U91,2,231.9
2026-09-21T07:30:20.690260+00:00,2026-09-21T07:09:24.21,Diesel,3,277.9
2026-09-24T06:34:35.637614+00:00,2026-09-24T05:35:56.713,U91,2,231.9
2026-09-24T06:34:35.637614+00:00,2026-09-24T05:35:56.713,Diesel,3,277.9
2026-09-24T20:29:47.797118+00:00,2026-09-24T19:58:59.257,U91,2,228.9
2026-09-24T20:29:47.797118+00:00,2026-09-24T19:58:59.257,Diesel,3,269.9
